table_name,column_name,data_type,is_nullable,column_default
booking_clients,id,integer,NO,nextval('booking_clients_id_seq'::regclass)
booking_clients,booking_id,integer,NO,null
booking_clients,client_id,integer,NO,null
booking_pets,id,bigint,NO,null
booking_pets,created_at,timestamp with time zone,NO,now()
booking_pets,booking_id,bigint,NO,null
booking_pets,pet_id,bigint,NO,null
bookings,id,integer,NO,nextval('bookings_id_seq'::regclass)
bookings,field_id,integer,NO,null
bookings,start_time,timestamp without time zone,NO,null
bookings,end_time,timestamp without time zone,NO,null
bookings,service_type,character varying,YES,null
bookings,status,character varying,YES,'open'::character varying
bookings,max_capacity,integer,YES,null
bookings,assigned_staff_id,uuid,YES,null
bookings,vehicle_id,integer,YES,null
bookings,assignment_notes,text,YES,null
clients,id,integer,NO,nextval('clients_id_seq'::regclass)
clients,user_id,uuid,YES,null
clients,email,character varying,YES,null
fields,id,integer,NO,nextval('fields_id_seq'::regclass)
fields,site_id,integer,NO,null
fields,name,character varying,YES,null
fields,capacity,integer,YES,null
fields,field_type,character varying,YES,null
payments,id,integer,NO,nextval('payments_id_seq'::regclass)
payments,client_id,integer,NO,null
payments,booking_id,integer,YES,null
payments,amount,numeric,YES,null
payments,currency,character varying,YES,'USD'::character varying
payments,status,character varying,YES,'pending'::character varying
payments,created_at,timestamp without time zone,YES,CURRENT_TIMESTAMP
pets,id,integer,NO,nextval('pets_id_seq'::regclass)
pets,client_id,integer,NO,null
pets,name,character varying,YES,null
pets,breed,character varying,YES,null
pets,size,character varying,YES,null
pets,is_confirmed,boolean,YES,false
profiles,user_id,uuid,NO,null
profiles,first_name,text,YES,null
profiles,last_name,text,YES,null
profiles,phone,text,YES,null
service_availability,id,integer,NO,nextval('service_availability_id_seq'::regclass)
service_availability,service_id,integer,NO,null
service_availability,field_ids,ARRAY,NO,null
service_availability,start_time,time without time zone,NO,null
service_availability,end_time,time without time zone,NO,null
service_availability,days_of_week,ARRAY,YES,null
service_availability,specific_date,date,YES,null
service_availability,base_capacity,integer,YES,null
service_availability,is_active,boolean,YES,true
service_availability,created_at,timestamp with time zone,YES,now()
services,id,integer,NO,nextval('services_id_seq'::regclass)
services,name,character varying,NO,null
services,description,text,YES,null
services,created_at,timestamp with time zone,YES,now()
services,requires_field_selection,boolean,NO,false
sites,id,integer,NO,nextval('sites_id_seq'::regclass)
sites,name,character varying,NO,null
sites,address,text,YES,null
sites,is_active,boolean,YES,true
staff,id,integer,NO,nextval('staff_id_seq'::regclass)
staff,user_id,uuid,YES,null
staff,role,character varying,YES,null
staff,notes,text,YES,null
vehicles,id,bigint,NO,nextval('vehicles_id_seq'::regclass)
vehicles,staff_id,integer,NO,null
vehicles,make,character varying,NO,null
vehicles,model,character varying,NO,null
vehicles,year,integer,YES,null
vehicles,color,character varying,YES,null
vehicles,license_plate,character varying,YES,null
vehicles,notes,text,YES,null
